id;geometry;waste amount;co2 amount
182;LINESTRING(6.511274 52.878501656, 6.5087361 52.8787715, 6.3993512 52.9106401, 6.400787582 52.910191559);15390,901;23,13624825
186;LINESTRING(6.3314 52.67075, 6.2701093 52.682507, 6.270109507 52.68432506);11371,024;5,0074374
187;LINESTRING(6.3314 52.67075, 6.3495804 52.6459514);11372,799;3,331594193
188;LINESTRING(6.270109507 52.68432506, 6.19504065 52.6734775, 6.192312125 52.678894775);49,791;0,062862397
189;LINESTRING(6.270109507 52.68432506, 6.2668913 52.6853457, 6.2255536 52.6906295, 6.2234772 52.690805925);11303,348;3,485924866
191;LINESTRING(6.252958833 52.7048578, 6.2529675 52.7047694, 6.2351988 52.6971871, 6.235049 52.69709975, 6.2348992 52.6970124, 6.2253524 52.6907665, 6.2234772 52.690805925);100,46;0,067910654
192;LINESTRING(6.207075368 52.704744082, 6.202185043 52.729364136);7059,901;1,843562535
193;LINESTRING(6.207075368 52.704744082, 6.206095253 52.693484616);7074,821;0,845499244
195;LINESTRING(6.202185043 52.729364136, 6.2038314 52.730257, 6.2326076 52.7603381);7034,887;2,616582715
199;LINESTRING(6.206095253 52.693484616, 6.2234772 52.690805925);11180,325;1,253588324
200;LINESTRING(6.206095253 52.693484616, 6.1982566 52.6949562, 6.1894531 52.7017039, 6.185014183 52.7044586);4097,805;0,690576172
203;LINESTRING(6.2326076 52.7603381, 6.2328966 52.765532367);7016,995;0,370997941
204;LINESTRING(6.2328966 52.765532367, 6.2330721 52.7683587, 6.2272899 52.7792437, 6.22714695 52.77938645, 6.227004 52.7795292, 6.1983993 52.8192054, 6.1983765 52.81931395, 6.1983537 52.8194225, 6.1838054 52.8429624);25,553;0,140331267
207;LINESTRING(6.187330225 52.84506785, 6.1838054 52.8429624);24,293;0,004589141
210;LINESTRING(6.1853427 52.7076193, 6.185014183 52.7044586);108,559;0,011959905
211;LINESTRING(6.185014183 52.7044586, 6.1818332 52.7052348, 6.1698907 52.7015487, 6.1697649 52.701429367);3982,491;0,365451677
212;LINESTRING(6.1838054 52.8429624, 6.1434378 52.824852);1,26;0,004712536
213;LINESTRING(6.1697649 52.701429367, 6.1695327 52.70138, 6.1567714 52.6924273, 6.1566369 52.692326, 6.1565024 52.6922247, 6.13711 52.67886);436,827;0,320699412
214;LINESTRING(6.4826081 53.148291717, 6.4849489 53.14991, 6.4961116 53.1659289, 6.49646305 53.1671866, 6.4968145 53.1684443, 6.5113854 53.1883599, 6.5113788 53.1889152, 6.5113722 53.1894705, 6.5113626 53.191108, 6.511969529 53.198353013);21,96;0,034519943
215;LINESTRING(6.4826081 53.148291717, 6.4809236 53.1479749, 6.4558661 53.1463529);21,96;0,010399134
216;LINESTRING(6.4558661 53.1463529, 6.45257305 53.14827645);2713,246;0,12630358
217;LINESTRING(6.45257305 53.14827645, 6.44667 53.15172, 6.4177154 53.1478181, 6.4175423 53.14787495, 6.4173692 53.1479318, 6.4033326 53.1584597, 6.4032609 53.15858685, 6.4031892 53.158714, 6.3941352 53.1643457);2713,246;2,041279737
221;LINESTRING(7.21636919 53.17805186, 7.201881233 53.177226867, 7.14174584 53.15957674);9246,009;2,01009893
224;LINESTRING(7.14174584 53.15957674, 7.13364655 53.1550726, 7.055514895 53.155101336);9246,009;2,200508648
227;LINESTRING(7.112119 53.1798739, 7.0583966 53.1566299, 7.055514895 53.155101336);439,82;0,203592568
229;LINESTRING(6.953612417 53.29864615, 6.9538764 53.2955339, 6.9510501 53.2639249, 6.951412671 53.263108457);82119,78;37,43754481
231;LINESTRING(6.953612417 53.29864615, 6.9529495 53.3047255, 6.9421024 53.3177338, 6.93713647 53.32000434);535,87;0,250899271
232;LINESTRING(6.951412671 53.263108457, 6.9512056 53.2630607, 6.8915522 53.2457261, 6.8901125 53.2456295, 6.876100876 53.246519188);82121,38;51,72788867
235;LINESTRING(6.880526475 53.30390555, 6.8780035 53.303135, 6.8576925 53.3009612, 6.855233233 53.300589817);2,64;0,004768414
237;LINESTRING(6.93713647 53.32000434, 6.916486264 53.320904529);535,87;0,127617862
238;LINESTRING(6.876100876 53.246519188, 6.8759751 53.2518417, 6.87512 53.26516, 6.87489196 53.26680526, 6.87495 53.26819, 6.85336 53.29862, 6.855233233 53.300589817);217,992;0,478647451
239;LINESTRING(6.876100876 53.246519188, 6.8715065 53.2442445, 6.8251841 53.2329526, 6.82026122 53.23063484);82353,702;39,59329888
241;LINESTRING(6.9825181 53.1891157, 6.976238679 53.185728579);15,209;0,005481668
