Produced;Treated;Amount;tag;colour
POINT (4.78 52.36);POINT (4.94 51.83);0,334;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (5.64 53.03);1130,42;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (5.73 51.85);0,216;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (5.11 52.04);7,166;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (6.05 53.11);3,462;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (5.11 52.04);0,507;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.94 51.83);0,236;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.94 51.83);0,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.62 51.78);0,236;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.94 51.83);0,175;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.43 51.43);66,426;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.12 51.93);0,415;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.36);POINT (4.94 51.83);0,13;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (4.76 52.60);831,62;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (4.88 52.20);13,94;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (5.08 52.13);7,26;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.42);POINT (5.44 51.50);1988,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
